,Wavelength(nm),B-Field(G),B-Field Orientation,Events(MeV),Raw Events(MeV),Power Drop,Power Drop Err,Asym Diff,Asym Diff Err,Loff A,Loff A Err,Loff B,Loff B Err,Loff g,Loff g Err,Loff w,Loff w Err,Loff P,Loff P Err,QWP Pos
116982,1051.5,2750.0,LF,561.5,629.5,0.20355320722053896,0.000534315046054166,0.001890563170228403,0.0009260233891128846,-0.4999999973232524,0.7708478697682211,0.6829016831415823,0.770750198989059,0.0051991199310668324,0.005993601529351195,,,,,0.0
116995,1051.5,2750.0,LF,562.4,630.5,0.1884957000302244,0.000533907235731681,-0.0018875299604876124,-0.0009103498830182845,-0.49999999999412,0.8026326740165276,0.6827649027401977,0.8025314705596156,0.005188883995121863,0.00622937884114052,,,,,1.0
117007,1051.5,2750.0,LF,1215.9,1363.1,0.04626525393654047,0.0003616100182536353,-0.0011044668489462231,-0.0005327819747415574,-0.4999999999813815,0.6305739937573714,0.6825053947455096,0.6305049907076222,0.0048342216487454025,0.00455469713919907,,,,,1.0
117033,1051.5,-2750.0,LF,561.8,629.8,0.22242130139012994,0.0005306326161126346,0.0016518326976330685,0.0009389520550813535,-0.49999999785377475,0.7509955087291285,0.6833113093244966,0.750901105555208,0.005179744926521397,0.005813539952223809,,,,,0.0
117045,1051.5,-2750.0,LF,561.1,629.0,0.22782617434358554,0.0005291242548072327,-0.0024056024396209258,-0.0009419845244424534,-0.4999999991618446,0.8118219680525753,0.6837427476009388,0.8117270518936692,0.0049997263382095,0.006057606395532462,,,,,1.0
117076,1051.5,-350.0,LF,843.1,945.3,0.045401486629427674,0.0004916808933127931,0.0006829860767359602,0.0007239235530099815,0.11439985100799488,0.0004469535376111383,0.06720869712417504,0.00038083358404750097,0.2929415777759275,0.004348888064057784,,,,,1.0
117094,1051.5,350.0,LF,744.8,835.2,0.0459123343979323,0.0005286680259797443,0.0006352902903507162,0.0007788183887191281,0.11250971530395353,0.0004762398668702206,0.0685477141188592,0.00040566810607659855,0.29707414930127174,0.004642670870564184,,,,,1.0
117110,1051.5,350.0,LF,267.1,299.6,0.044379049405323605,0.0008771889277062055,0.0018388734462404582,0.001290037287553921,0.11596657456785926,0.0006522229846578242,0.06496970717721545,0.0005554373311896366,0.3020783830122858,0.006883362407785457,,,,,0.0
117142,1051.5,2750.0,LF,275.3,308.8,0.28173414718828044,0.0007666673305710907,0.0015644644759819572,0.0014531642166481953,-0.49999969926237825,1.2794280492697472,0.6830494717093067,1.2792902455495336,0.0047891808748191855,0.0091465530403512,,,,,0.0
117156,1051.5,2750.0,LF,558.9,626.8,0.3820897424440444,0.0005428351228841606,0.003979391528983142,0.001171019219080193,0.036939136084523275,0.04918972675156415,0.14594774466391194,0.049093867242718275,0.02064517053728812,0.007550814830360794,,,,,0.0
117168,1051.5,-2750.0,LF,578.4,648.6,0.3567336988808473,0.0005315670175919341,0.0035362827513758547,0.0011076108742233389,-0.4999999998141509,0.7655161118458466,0.6830227525529101,0.7654260644360422,0.005002966048882099,0.005722161291025206,,,,,0.0
117185,1051.5,2750.0,LF,558.0,625.7,0.4801114097391835,0.0005540269224521874,0.003150347538913703,0.001384487211893783,-0.49999999994118854,0.8446286925739617,0.6825065883728696,0.8445286990654411,0.005022872764264922,0.00634381127867502,,,,,0.0
117197,1051.5,-2750.0,LF,567.6,636.4,0.4571642573559217,0.0005497162025445874,0.002423157917704646,0.0013242769361470818,-0.49999999716716154,0.8511781220936976,0.6822113242669062,0.851081861918991,0.004906817367653812,0.006245111838950824,,,,,0.0
117230,1051.5,2750.0,LF,559.6,627.4,0.5930698820422723,0.000566092637605677,0.001141361896693386,0.0017474637986111166,-0.4999999992716629,0.9648868440388227,0.682607142064307,0.9647943370950671,0.004518337271224346,0.006504914867281421,,,,,0.0
117242,1051.5,-2750.0,LF,561.9,630.0,0.5851777079630329,0.0005623302108744475,-8.325141797951879e-05,-0.0017071373025768196,-0.42966367730635563,0.8141148584194433,0.6122000220340283,0.8140154293724549,0.005101114367198865,0.00692527403771012,,,,,0.0
117255,1051.5,-2750.0,LF,558.8,626.5,0.5556469857648854,0.0005639480313691711,-0.0013986199638480752,-0.00161223425252467,-0.49999999997659744,0.8548872595501494,0.6823531668285995,0.8547890890397004,0.004946279228745835,0.006322444758553306,,,,,1.0
117280,1051.5,2750.0,LF,560.0,627.9,0.503053206347604,0.0005576569131742763,-0.004344315515092191,-0.0014487181933308616,-0.4999999992296837,0.7904253409850602,0.6824040034329313,0.7903311515530879,0.005036911656845478,0.005954613177566336,,,,,1.0
117292,1051.5,-2750.0,LF,559.5,627.1,0.5033456250598127,0.0005538246387281216,0.00022452315948008348,0.0014388073904006283,-0.4999999985245559,0.8119196678458541,0.6827925781489871,0.8118246281946473,0.004993946767862797,0.006059811415686619,,,,,1.0
117306,1051.5,-2750.0,LF,559.3,627.0,0.32614819772741005,0.0005380825388483585,-0.0010060763932255173,-0.001077295218361647,-0.4999999999995353,0.8730920950681935,0.6828216259804358,0.8729929890266835,0.0049146730497402384,0.006410731908018021,,,,,1.0
117318,1051.5,2750.0,LF,558.8,626.5,0.3021985205662573,0.0005407214745317253,-0.002336786912063803,-0.0010508823741683351,-0.49999999995512545,0.8490724565710637,0.6824333008860101,0.848974075918868,0.004966865290804448,0.006305418496449246,,,,,1.0
117330,1051.5,2750.0,LF,465.5,521.8,0.21622834172453437,0.0005891704103522698,-0.00041317352961922827,-0.00103541938240358,-0.49999999985133486,0.8386985207939515,0.6823025521590089,0.8385963080560846,0.005094282720515465,0.00639265701898273,,,,,1.0
